ID,Name,Form,Cobblemon,Cobblemonform,Legendary
460,Abomasnow, ,abomasnow,normal,false
460,Abomasnow,Mega Abomasnow,megaabomasnow,normal,false
63,Abra, ,abra,normal,false
359,Absol, ,absol,normal,false
359,Absol,Mega Absol,megaabsol,normal,false
617,Accelgor, ,accelgor,normal,false
681,Aegislash,Shield Forme,aegislash,normal,false
681,Aegislash,Blade Forme,aegislash,UNKNOWN,false
142,Aerodactyl, ,aerodactyl,normal,false
142,Aerodactyl,Mega Aerodactyl,megaaerodactyl,normal,false
306,Aggron, ,aggron,normal,false
306,Aggron,Mega Aggron,megaaggron,normal,false
190,Aipom, ,aipom,normal,false
65,Alakazam, ,alakazam,normal,false
65,Alakazam,Mega Alakazam,megaalakazam,normal,false
869,Alcremie, ,alcremie,normal,false
594,Alomomola, ,alomomola,normal,false
334,Altaria, ,altaria,normal,false
334,Altaria,Mega Altaria,megaaltaria,normal,false
698,Amaura, ,amaura,normal,false
424,Ambipom, ,ambipom,normal,false
591,Amoonguss, ,amoonguss,normal,false
181,Ampharos, ,ampharos,normal,false
181,Ampharos,Mega Ampharos,megaampharos,normal,false
979,Annihilape, ,annihilape,normal,false
347,Anorith, ,anorith,normal,false
842,Appletun, ,appletun,normal,false
840,Applin, ,applin,normal,false
752,Araquanid, ,araquanid,normal,false
24,Arbok, ,arbok,normal,false
930,Arboliva, ,arboliva,normal,false
59,Arcanine, ,arcanine,normal,false
59,Arcanine,Hisuian Arcanine,arcanine,hisui,false
493,Arceus, ,arceus,normal,true
1018,Archaludon, ,archaludon,normal,false
566,Archen, ,archen,normal,false
567,Archeops, ,archeops,normal,false
997,Arctibax, ,arctibax,normal,false
883,Arctovish, ,arctovish,normal,false
881,Arctozolt, ,arctozolt,normal,false
168,Ariados, ,ariados,normal,false
348,Armaldo, ,armaldo,normal,false
936,Armarouge, ,armarouge,normal,false
683,Aromatisse, ,aromatisse,normal,false
304,Aron, ,aron,normal,false
846,Arrokuda, ,arrokuda,normal,false
144,Articuno, ,articuno,normal,true
144,Articuno,Galarian Articuno,articuno,galar,true
531,Audino, ,audino,normal,false
531,Audino,Mega Audino,megaaudino,normal,false
699,Aurorus, ,aurorus,normal,false
713,Avalugg, ,avalugg,normal,false
